"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Owner-occupied","78,801,376","±342,600","64.4%","±0.2"
"        Renter-occupied","43,552,843","±134,985","35.6%","±0.2"
"        Average household size of owner-occupied unit","2.69","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.45","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
"        Moved in 2019 or later","5,926,790","±39,437","4.8%","±0.1"
"        Moved in 2015 to 2018","34,811,034","±51,684","28.5%","±0.1"
"        Moved in 2010 to 2014","24,361,511","±72,044","19.9%","±0.1"
"        Moved in 2000 to 2009","27,220,198","±106,484","22.2%","±0.1"
"        Moved in 1990 to 1999","14,760,836","±65,085","12.1%","±0.1"
"        Moved in 1989 and earlier","15,273,850","±53,847","12.5%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
"        No vehicles available","10,344,521","±22,358","8.5%","±0.1"
"        1 vehicle available","39,756,914","±46,312","32.5%","±0.1"
"        2 vehicles available","45,389,464","±134,464","37.1%","±0.1"
"        3 or more vehicles available","26,863,320","±73,531","22.0%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
"        Utility gas","58,269,718","±155,623","47.6%","±0.1"
"        Bottled, tank, or LP gas","5,925,357","±23,688","4.8%","±0.1"
"        Electricity","48,141,177","±49,322","39.3%","±0.1"
"        Fuel oil, kerosene, etc.","5,599,403","±17,373","4.6%","±0.1"
"        Coal or coke","114,177","±2,251","0.1%","±0.1"
"        Wood","2,075,845","±9,682","1.7%","±0.1"
"        Solar energy","222,369","±4,829","0.2%","±0.1"
"        Other fuel","600,652","±5,269","0.5%","±0.1"
"        No fuel used","1,405,521","±10,627","1.1%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
"        Lacking complete plumbing facilities","460,275","±6,801","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,016,528","±8,946","0.8%","±0.1"
"        No telephone service available","1,976,696","±12,629","1.6%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
"        1.00 or less","118,293,570","±232,919","96.7%","±0.1"
"        1.01 to 1.50","2,722,626","±23,057","2.2%","±0.1"
"        1.51 or more","1,338,023","±10,721","1.1%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","78,801,376","±342,600","78,801,376","(X)"
"        Less than $50,000","5,172,474","±29,891","6.6%","±0.1"
"        $50,000 to $99,999","8,698,428","±51,921","11.0%","±0.1"
"        $100,000 to $149,999","9,730,077","±51,089","12.3%","±0.1"
"        $150,000 to $199,999","10,727,302","±53,925","13.6%","±0.1"
"        $200,000 to $299,999","15,730,458","±74,910","20.0%","±0.1"
"        $300,000 to $499,999","16,173,336","±68,328","20.5%","±0.1"
"        $500,000 to $999,999","9,682,662","±41,260","12.3%","±0.1"
"        $1,000,000 or more","2,886,639","±12,511","3.7%","±0.1"
"        Median (dollars)","229,800","±188","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","78,801,376","±342,600","78,801,376","(X)"
"        Housing units with a mortgage","48,974,364","±221,164","62.1%","±0.1"
"        Housing units without a mortgage","29,827,012","±125,249","37.9%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","48,974,364","±221,164","48,974,364","(X)"
"        Less than $500","568,141","±6,580","1.2%","±0.1"
"        $500 to $999","8,020,937","±47,017","16.4%","±0.1"
"        $1,000 to $1,499","13,146,307","±62,539","26.8%","±0.1"
"        $1,500 to $1,999","10,324,027","±53,231","21.1%","±0.1"
"        $2,000 to $2,499","6,485,860","±36,083","13.2%","±0.1"
"        $2,500 to $2,999","3,999,769","±22,899","8.2%","±0.1"
"        $3,000 or more","6,429,323","±27,544","13.1%","±0.1"
"        Median (dollars)","1,621","±2","(X)","(X)"
"    Housing units without a mortgage","29,827,012","±125,249","29,827,012","(X)"
"        Less than $250","3,317,647","±19,501","11.1%","±0.1"
"        $250 to $399","6,680,713","±35,288","22.4%","±0.1"
"        $400 to $599","8,428,059","±41,174","28.3%","±0.1"
"        $600 to $799","5,014,006","±24,660","16.8%","±0.1"
"        $800 to $999","2,660,659","±16,261","8.9%","±0.1"
"        $1,000 or more","3,725,928","±19,113","12.5%","±0.1"
"        Median (dollars)","509","±2","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","48,744,731","±222,186","48,744,731","(X)"
"        Less than 20.0 percent","22,762,635","±144,986","46.7%","±0.1"
"        20.0 to 24.9 percent","7,593,802","±46,143","15.6%","±0.1"
"        25.0 to 29.9 percent","5,044,205","±27,144","10.3%","±0.1"
"        30.0 to 34.9 percent","3,314,853","±17,355","6.8%","±0.1"
"        35.0 percent or more","10,029,236","±26,775","20.6%","±0.1"
"        Not computed","229,633","±4,116","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","29,428,138","±125,024","29,428,138","(X)"
"        Less than 10.0 percent","13,449,955","±76,571","45.7%","±0.1"
"        10.0 to 14.9 percent","5,686,876","±25,775","19.3%","±0.1"
"        15.0 to 19.9 percent","3,208,798","±16,847","10.9%","±0.1"
"        20.0 to 24.9 percent","1,935,622","±13,170","6.6%","±0.1"
"        25.0 to 29.9 percent","1,248,280","±8,775","4.2%","±0.1"
"        30.0 to 34.9 percent","834,409","±6,972","2.8%","±0.1"
"        35.0 percent or more","3,064,198","±15,819","10.4%","±0.1"
"        Not computed","398,874","±4,457","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,390,514","±129,364","41,390,514","(X)"
"        Less than $500","3,679,331","±14,245","8.9%","±0.1"
"        $500 to $999","14,206,622","±43,302","34.3%","±0.1"
"        $1,000 to $1,499","12,515,982","±48,970","30.2%","±0.1"
"        $1,500 to $1,999","6,187,736","±34,428","14.9%","±0.1"
"        $2,000 to $2,499","2,558,549","±18,165","6.2%","±0.1"
"        $2,500 to $2,999","1,088,264","±9,099","2.6%","±0.1"
"        $3,000 or more","1,154,030","±9,772","2.8%","±0.1"
"        Median (dollars)","1,096","±1","(X)","(X)"
"        No rent paid","2,162,329","±11,804","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,484,226","±123,718","40,484,226","(X)"
"        Less than 15.0 percent","5,405,002","±31,148","13.4%","±0.1"
"        15.0 to 19.9 percent","5,254,304","±24,803","13.0%","±0.1"
"        20.0 to 24.9 percent","5,227,400","±23,271","12.9%","±0.1"
"        25.0 to 29.9 percent","4,711,468","±21,072","11.6%","±0.1"
"        30.0 to 34.9 percent","3,679,430","±19,943","9.1%","±0.1"
"        35.0 percent or more","16,206,622","±63,200","40.0%","±0.1"
"        Not computed","3,068,617","±18,060","(X)","(X)"
