"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        $100,000 to $149,999","19,128,938","±77,196","15.6%","±0.1"
"        $150,000 to $199,999","8,688,154","±41,715","7.1%","±0.1"
"        $200,000 or more","10,103,691","±51,548","8.3%","±0.1"
"        Median household income (dollars)","64,994","±128","(X)","(X)"
"        Mean household income (dollars)","91,547","±157","(X)","(X)"
"        With earnings","95,088,085","±167,965","77.7%","±0.1"
"            Mean earnings (dollars)","93,265","±161","(X)","(X)"
"        With Social Security","38,442,718","±86,674","31.4%","±0.1"
"            Mean Social Security income (dollars)","20,126","±16","(X)","(X)"
"        With retirement income","25,872,444","±114,999","21.1%","±0.1"
"            Mean retirement income (dollars)","28,376","±73","(X)","(X)"
"        With Supplemental Security Income","6,403,843","±22,051","5.2%","±0.1"
"            Mean Supplemental Security Income (dollars)","10,115","±19","(X)","(X)"
"        With cash public assistance income","2,995,159","±19,009","2.4%","±0.1"
"            Mean cash public assistance income (dollars)","3,271","±21","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","13,892,407","±33,991","11.4%","±0.1"
"    Families","79,849,830","±199,011","79,849,830","(X)"
"        Less than $10,000","2,784,559","±15,207","3.5%","±0.1"
"        $10,000 to $14,999","1,737,891","±11,996","2.2%","±0.1"
"        $15,000 to $24,999","4,608,727","±22,285","5.8%","±0.1"
"        $25,000 to $34,999","5,671,464","±21,782","7.1%","±0.1"
"        $35,000 to $49,999","8,744,513","±20,570","11.0%","±0.1"
"        $50,000 to $74,999","13,857,979","±39,115","17.4%","±0.1"
"        $75,000 to $99,999","11,445,632","±46,512","14.3%","±0.1"
"        $100,000 to $149,999","15,185,857","±82,144","19.0%","±0.1"
"        $150,000 to $199,999","7,235,024","±45,370","9.1%","±0.1"
"        $200,000 or more","8,578,184","±53,629","10.7%","±0.1"
"        Median family income (dollars)","80,069","±207","(X)","(X)"
"        Mean family income (dollars)","107,335","±228","(X)","(X)"
"    Per capita income (dollars)","35,384","±91","(X)","(X)"
"    Nonfamily households","42,504,389","±49,626","42,504,389","(X)"
"        Median nonfamily income (dollars)","39,027","±83","(X)","(X)"
"        Mean nonfamily income (dollars)","57,648","±132","(X)","(X)"
"    Median earnings for workers (dollars)","36,280","±64","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","54,323","±126","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","44,220","±94","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","321,525,041","±9,950","321,525,041","(X)"
"        With health insurance coverage","293,466,138","±241,944","91.3%","±0.1"
"            With private health insurance","218,830,578","±606,984","68.1%","±0.2"
"            With public coverage","113,410,193","±269,417","35.3%","±0.1"
"        No health insurance coverage","28,058,903","±247,178","8.7%","±0.1"
"    Civilian noninstitutionalized population under 19 years","77,582,280","±11,140","77,582,280","(X)"
"        No health insurance coverage","4,016,835","±33,489","5.2%","±0.1"
"    Civilian noninstitutionalized population 19 to 64 years","192,870,537","±13,732","192,870,537","(X)"
"        In labor force:","150,997,488","±116,077","150,997,488","(X)"
"            Employed:","143,214,283","±133,591","143,214,283","(X)"
"                With health insurance coverage","127,785,204","±267,183","89.2%","±0.1"
"                    With private health insurance","116,559,349","±307,813","81.4%","±0.1"
"                    With public coverage","15,001,155","±35,404","10.5%","±0.1"
"                No health insurance coverage","15,429,079","±144,706","10.8%","±0.1"
"            Unemployed:","7,783,205","±32,765","7,783,205","(X)"
"                With health insurance coverage","5,696,312","±22,047","73.2%","±0.2"
"                    With private health insurance","3,265,196","±17,258","42.0%","±0.2"
"                    With public coverage","2,677,987","±17,186","34.4%","±0.2"
"                No health insurance coverage","2,086,893","±21,654","26.8%","±0.2"
"        Not in labor force:","41,873,049","±116,588","41,873,049","(X)"
"            With health insurance coverage","35,748,538","±69,833","85.4%","±0.1"
"                With private health insurance","21,659,932","±53,142","51.7%","±0.2"
"                With public coverage","17,036,758","±90,655","40.7%","±0.1"
"            No health insurance coverage","6,124,511","±59,817","14.6%","±0.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","9.1%","±0.1"
"        With related children of the householder under 18 years","(X)","(X)","14.3%","±0.1"
"            With related children of the householder under 5 years only","(X)","(X)","13.5%","±0.2"
"        Married couple families","(X)","(X)","4.6%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","6.2%","±0.1"
"                With related children of the householder under 5 years only","(X)","(X)","4.8%","±0.1"
"        Families with female householder, no spouse present","(X)","(X)","25.1%","±0.1"
"            With related children of the householder under 18 years","(X)","(X)","34.4%","±0.2"
"                With related children of the householder under 5 years only","(X)","(X)","38.8%","±0.3"
"    All people","(X)","(X)","12.8%","±0.1"
"        Under 18 years","(X)","(X)","17.5%","±0.2"
"            Related children of the householder under 18 years","(X)","(X)","17.2%","±0.2"
"                Related children of the householder under 5 years","(X)","(X)","19.1%","±0.2"
"                Related children of the householder 5 to 17 years","(X)","(X)","16.4%","±0.2"
"        18 years and over","(X)","(X)","11.5%","±0.1"
"            18 to 64 years","(X)","(X)","12.1%","±0.1"
"            65 years and over","(X)","(X)","9.3%","±0.1"
"        People in families","(X)","(X)","10.1%","±0.1"
"        Unrelated individuals 15 years and over","(X)","(X)","24.2%","±0.1"
